5699,18292,12667,3691,19760,24152,9377,7206,25200,9026,4626,11619,7932,23215,25220,12361	3
7400,1188,7466,18221	5
13949,24293,23883,13618,5932,3322	9
13383,16871,23629,7932,7527	6
9052,7466,5965,6714,17375,18932,14738,15201	6
17662,12298,15399,7364,24006,913,9352,20384,3136,21417,7105,21,25100,5998,19660,506,11881,7901	7
24260,21261,4210,20090,15554,4215,17481,22253	2
21433,16402,10988,15945,11870,12093,3019,1049	9
5693,5150,8631,20749,13060,12352,3999,20797,4614,5072,2663,9472,7401,9729,14026,11244,1885,24709,2917,14719	8
15664,20180,17709,14686,21,8422,1188,5838	7
7471,5468,19725,10097,22439,5292	9
3758,17820,8379,16513,24415,18895,15361,17504,18132	8
902,8275	1
15969,24293,7284,19838,14509,17242,8292,12398,13358,23844,13896,8794,1509,24384,5593,1821,7899,21,2043,22850	9
10312,2428,2531,14207,126	9
15980,3626,6398,7220,15031,10762,1645,23883,8416,9539,13401,18995,10021,9797,3566,12316,13857,20999,8865,22682,24009,25437,4535,19834,10853,6952,9677,21598,2928,22462	2
14186,17850,17966,4906,25341	3
5843,1578,23725,11318,17018,11845,5375,13222,7932,14725,22239	5
3566,25343,1188,4127,15046,14580	8
4051,945,17149,2043,14449,14748,23554,13989,2263,1791,12522,25061,12635,18346,14468,3867,2552,20540	6
7679,5541,15334,20513	9
21244,16315,25177,20823,18495,8275,4086	1
14039,11767,14716,17655,15570,23658,5800	8
17157,9118,243,6667,16947,13834,9714,2531,4659,4289,24285,24305,7672	3
7466,10121,19684,849,11274,6098,7302,17006,2084,18143,3395,8349,14444,5695,5838	2
7932,10283,7684,12882,7941,23397,4024,7206,10713,12328,15460	8
136,18237,1864,4704,1950,2914	8
23030,1329,5691,14716,2625,11928,3220,7810,14634,2370,5730,6659,19858,12831,25570	5
12715,10399,996,508,21014	5
2336,14750,10864,9713,19852,4443	8
23318,17757,12253	4
24709,2917,8313,11238,12215,21050,15497,5347,10202	9
25618,11943,5538,14085,6672,17921,24778,5651,1885,3958	5
15399,19719,20072,18691	8
20460,2822,11250,21454,14422,2746	9
12667,3416,2946,4535,20920,5940,4906,10183,3691,14677	3
1841,25341,21386,23165,6841,9027,20516,3560,1402,8794,18965,11372,20839,15014,8550	3
21473,7655,3245,20556,7129,23830,602,7082,7941,13073,715,1744	8
19274,5462,738,25540,1584,12633,17225	3
13863,16458,13602,126,9840,926	3
7384,5211,13565,498,20413,2823,1918,2109,23638,11341,6672,2743,2264,4286,8306,22914	5
2922,21617,11301,11227,19614,477,8364,5006,14208,12784	9
18423,7112,23470,25257,16237,5722,5021,1340,22348	4
4778,4880,4832,19158,1945,15041,1372,23389	9
12250,18519,11450,18356,10232,7809,22309,11990,15943	6
7220,15980,3788,2946,4906,24300,7723,1909,6482	3
12403,8416,8364,23799,15399,12787,7796,5838,8808,14585,20180,21214,9072,19423,14241,14716,21200	6
4778,12784,10097,21,1188,15375	9
5491,10626,16565,207,3656,17792,21294	8
18332,11730,3662,13505,2652,8958,20978,23068,24062	9
13234,21040,14285,6955,1814,15809,25529,10426,13241,17758	9
13229,11069,19419,16070,2285,3341,517,1738,7206,10713,9840	8
337,20823,1451,3498,25315,6433,19304,14756,15679,21214,727,13173,9575,2556	5
22872,5389,2383,6511	9
12186,21227,22319	6
6301,7206,6618,9422,15399,23848	8
19724,23238,19407,22794,9839,10712,3212	6
6672,14716,8364,13264,856,7349,6683,5838,5649	5
2922,14825,13553,12553,4313,5728,7398,12183	8
15502,8730,11126,744	6
19265,20180,13026,11512,1468,3457,9539,13401,22787,7105,20252,17965,16133,18089,25220,9233,2683,15260,13618,6023,4659,18771,12457,8110,3612,9452,17316,12035,2237,6457,25492,21680,11734,2821,2393,2556,4299,22756,13604,5937,14172,2663,5072,21976	9
14134,12455,16675,6466,10318,16748,10069,18220,23600,13482,10483	8
12465,18789,3587,10486	9
13061,7804,10929,4395,23316,18721,10228,12864,21789	9
14092,19591,18445,4996,24152,9160,8731,24285,20526,6846,19260,621,12582,5988,8725,3958,4139,3994,21312,12784,17789,7684,23215,2344,21	9
11185,23026,21497,3177,10536,13633,8150,21999,10339,10333,11318,24392,9488	9
10118,920,25556,16741,24380,12858	5
1873,5800,22660,19302,8585,12478,2743,17789,12882,15360,24285	9
