73,17820,6658,21678,9240,6622,19483,19863,22681,19191,10569,457,11710,18689,18819,10620	3
2772,25496,20069,696	5
17980,7599,12961,20392,11928,21521	9
16935,7764,22789,11710,10195	6
9216,20069,4215,21706,10488,4320,4001,777	6
18468,10056,19508,6892,15089,13973,6874,9644,12099,20671,23511,593,16061,8938,5949,7475,953,8291	7
6572,14362,17193,16566,15748,15634,20070,9111	2
15672,726,21731,16482,8143,670,21514,17821	9
3584,4836,23378,13320,6009,8123,21322,16556,11434,13192,22117,22306,2821,4994,5022,8290,3644,3534,9596,11920	8
2512,23094,15422,6460,593,7922,23258,8890	7
22937,3416,5773,7831,23791,21934	9
13805,10272,11845,17974,640,2637,17744,19152,12629	8
20484,9774	1
24297,7599,14056,12171,21212,14570,5385,2176,14737,7770,16157,899,24971,22610,2311,14122,4119,593,3877,21327	9
12956,13588,8649,5033,20823	9
5392,1477,23128,15231,970,9491,17816,12961,24755,15513,1334,12812,23564,7162,248,19161,17549,9108,14113,5035,671,17435,24467,18099,5694,9011,9949,5020,14013,22065	2
5535,4003,23573,18123,17841	3
424,19720,13088,19943,4722,23223,10189,3832,11710,3361,2474	5
248,2317,23258,15971,20692,23111	8
11440,20186,20930,3877,9724,7034,14657,11524,13773,24981,3302,7845,4250,3147,1851,7300,11958,2036	6
19246,16711,14386,10985	9
22547,15640,23830,23656,19511,9774,21305	1
19092,1665,13804,3677,5440,2982,25147	8
10179,5519,7154,1835,22471,11182,13129,8649,9438,4712,23818,19058,23742	3
20069,4960,25432,21163,2949,9204,14205,25248,17238,7478,24630,9328,16515,13013,8890	2
11710,15642,2833,9406,20137,13922,247,19863,13303,18635,10979	8
14322,17707,2791,21989,18981,2254	8
16060,3589,15534,13804,22887,17206,21646,19093,11929,20568,4753,12352,15554,1663,24156	5
3406,2524,17158,7174,20952	5
21967,23682,11676,9118,1423,11936	8
20497,14780,9313	4
3534,9596,12581,22277,12548,2957,5002,20849,11915	9
17969,3654,20152,14391,11520,16872,14063,21682,3644,9390	5
19508,21598,12064,23135	8
15149,17827,5353,1691,13440,12076	9
6658,12282,8271,24467,7923,8825,18123,5586,21678,3717	3
23912,17841,4475,13424,3130,9613,18298,6172,13454,899,24942,19983,557,5437,18739	3
18996,16147,21060,23347,9687,24195,17600,1979,20137,5749,1434,18700	8
8470,10092,23575,15777,4186,2776,3474	3
2556,20340,5652,20823,12135,18299	3
3505,22360,1795,18745,8457,7821,14365,1673,21484,11477,11520,25322,3846,7758,24603,9354	5
20285,6424,1151,14435,14493,12444,11503,1006,702,1184	9
15920,9695,260,8226,21344,16105,24852,20071,23914	4
15139,10913,3760,2269,4363,5769,25407,23222	9
16286,15067,11588,4178,7092,18930,16937,15949,24566	6
15231,5392,17333,8271,18123,23377,20198,22627,16959	3
16064,24755,11503,3510,19508,5031,24070,8890,16612,13452,23094,21425,255,18010,12898,13804,2026	6
15139,1184,7831,593,23258,20800	9
21631,17931,23287,12862,10267,21181,9873	8
6876,3309,20790,15282,7594,16721,23510,4173,14076	9
9021,25112,2756,25050,17962,16327,523,7873,1847,4752	9
9721,6941,6587,19729,14437,15878,10805,12257,19863,13303,12135	8
12013,23656,18246,22501,5662,17199,3444,17487,1595,21425,2284,23956,23837,18075	5
6575,24575,20334,17009	9
6314,7558,6891	6
7353,19863,5608,5359,19508,14644	8
15738,19436,5998,14540,7547,5420,23020	6
11520,13804,11503,20061,4935,19988,25109,8890,20245	5
20285,16393,4275,17966,11683,17337,19433,13735	8
18088,20877,18157,13024	6
17663,23094,19676,11459,21216,19860,15513,1334,12971,25036,12517,8377,8504,21537,18819,3327,1405,3988,20392,13042,9438,17016,1130,485,21269,15800,2591,6696,24951,7007,13106,20142,23801,4077,15876,18075,9987,13528,14326,25444,103,22117,13192,17543	9
23848,18809,25554,14975,49,12117,16652,24462,3386,19543,22149	8
22191,14787,2123,17461	9
18786,20602,7677,3781,10244,3413,21226,2296,12955	9
5300,21769,17599,15280,6622,21837,14114,23818,8763,2131,7819,23866,12784,23672,12521,9390,12770,11258,12674,1184,807,2833,18689,17132,593	9
6044,20685,9694,16230,14186,13341,25059,12752,10768,18572,19943,3392,18888	9
18296,23851,18461,23921,1903,11217	5
2854,25147,14641,14883,1523,4786,25322,807,9406,22060,23818	9
24882,2336,24854,17411,17017,17195,1067	2
22838,16105,5291,11465,18958,23963,25280,12664,19686,23390,22420,1085,24948,6675,21987,25318,15877,22337	4
11845,15349,3877,784,16795,21246,22563,3292,24243,16114,21872,18289,9877,758	3
11412,441,25044,8823,17383,18484,10692,21762,17668,3294	9
